requirement_id,category,original_requirement,current_implementation,status,evidence,acceptance_gap,next_prompt,acceptance_test
FR-11,Functional,Validate and reconcile the target,"G6 validation and reconciliation pass for the Step29 order run",PASS_BOUNDED,"application/validation.py; adapters/validation.py; Step29 integration test","No original multi-source accounting or generic acceptance run",Prompt02,"Compare independent oracle at source-to-canonical and canonical-to-analytical boundaries"
FR-12,Functional,Require human review before consequential decisions,"Four typed artifact-bound checkpoints exist and are exercised with accept decisions",PARTIAL,"entrypoints/api.py; frontend/src/api/client.ts; Step29/Step31 tests","UI/API action set and reviewed subjects are incomplete for the original contract",Prompt04,"Exercise accept reject override label and lock where applicable with revision and idempotency controls"
NFR-01,Non-functional,Reproducible from a clean clone,"CI and local bootstrap validators pass at audited HEAD",PASS_BOUNDED,"terminal G0-G15 run 35520372671; docs/release/LIMITATIONS.md","No clean-clone heterogeneous product acceptance run",Prompt06,"Fresh clone installs and runs the exact multi-source acceptance scenario"
NFR-02,Non-functional,Explain decisions with evidence and lineage,"Artifact refs hashes provenance and evidence panels are implemented",PASS_BOUNDED,"domain contracts; ProductSummary; docs/release/CLAIM_EVIDENCE_MATRIX.md","Coverage is single-source in product path and UI does not expose all evidence actions",Prompt02,"Every accepted decision cites source snapshot and evidence artifact hashes"
NFR-03,Non-functional,Read source data without mutation,"File and SQL adapter contracts enforce read-only/source-faithful staging",PASS_BOUNDED,"adapters/sources; tests/contract/test_source_adapter_contracts.py; Step32 report; Prompt02 harness","Additive Prompt02 composition binds SQL and file sources, but no completed live proof exists yet",Prompt02,"Hash source fixtures before and after a full multi-source run"
NFR-04,Non-functional,Bound memory and extraction,"CSV API upload is bounded at 5 MB and extraction policy has row/chunk limits",PARTIAL,"entrypoints/api.py; domain/contracts/source.py","Product path has no heterogeneous bounded execution proof and uses full profile policy",Prompt02,"Record extraction bounds and completeness per source without silent sampling"
NFR-05,Non-functional,Bound optional LLM/semantic evidence,"Semantic providers are optional and structured/bounded",PASS_BOUNDED,"adapters/semantic; docs/release/LIMITATIONS.md","No product acceptance run exercises optional semantic evidence in multi-source scope",Prompt02,"If enabled, semantic output remains advisory and cannot bypass review"
NFR-06,Non-functional,Use adapter-first open-source boundaries,"Project-owned ports and adapters exist for files SQL providers and DuckDB",PASS_ISOLATED,"docs/02_OPEN_SOURCE_REUSE_AND_CLONE_PLAN.md; adapter modules","The product composition does not wire the wider adapter estate",Prompt02,"Prove adapter selection is configuration-driven and no provider writes source systems"
NFR-07,Non-functional,Maintain fixtures truth and regression coverage,"Many stage and provider fixtures exist, including independent truth files",PARTIAL,"benchmarks/inference_evaluation; benchmarks/validation; tests/integration","No executable original multi-source product fixture and oracle comparison exists",Prompt02,"Add a separate immutable oracle and negative controls"
POL-01,Policy,Do not silently correct deduplicate or drop records,"Step29 duplicate order negative test fails at dependency boundary and accounting contracts exist",PASS_BOUNDED,"tests/integration/test_step29_product_path.py; application/product_truth.py","No multi-source disposition ledger is proven",Prompt02,"Require exactly one explicit terminal disposition per input record"
POL-02,Policy,Do not invent revenue or GMV semantics,"Order policy explicitly marks monetary semantics not applicable",PASS_BOUNDED,"config/product/order_v1.json; docs/release/LIMITATIONS.md","Generic acceptance must preserve the same no-invention rule",Prompt03,"Reject an analytical plan that declares an undeclared monetary measure"
POL-03,Policy,Keep truth oracle separate from runtime,"Benchmark truth files are independent JSON fixtures",PASS_BOUNDED,"benchmarks/validation; benchmarks/inference_evaluation; Prompt02 oracle and validator","Prompt02 harness exists and keeps oracle loading in the independent test layer; live PASS is still pending",Prompt02,"Runtime process must not import or read oracle data"
SRC-01,Source,Support PostgreSQL MySQL/MariaDB SQL Server CSV and Parquet,"Adapters and compatibility tests cover these boundaries at different evidence levels",PASS_ISOLATED,"adapters/sources; tests/compatibility/test_step32_compatibility.py; docs/compatibility/README.md","No one product run composes three SQL systems plus a file source",Prompt02,"Live disposable services plus file source in the product acceptance job"
SRC-02,Source,Support SQLite reference XLSX optional and defer Oracle,"SQLite is reference; XLSX optional; Oracle is explicitly deferred",PASS_BOUNDED,"docs/compatibility/README.md; domain/contracts/database.py","Product completion must preserve the Oracle deferral and not overclaim",Prompt06,"Report source matrix without changing deferred Oracle scope"
MOD-01,Model,Produce at least one fact and three dimensions,"Current order output has fact_orders and two named dimensions",PARTIAL,"config/product/order_v1.json; Step29 integration test","V1 DoD is not met by current output",Prompt03,"Assert fact plus dim_customer dim_date and dim_source or an equivalent reviewed three-dimension model"
MOD-02,Model,Declare grain and measures with units/semantics,"Order policy declares grain_orders and quantity semantics",PASS_BOUNDED,"config/product/order_v1.json; analytical contracts","Generic and multi-source plans need the same explicit declarations",Prompt03,"Plan and SQL must carry stable semantic hashes and measure definitions"
OUT-01,Output,Publish catalog profiling relationships canonical analytical validation and target package,"Internal artifacts and safe summary are persisted; output view contains table names and counts",PARTIAL,"application/backend.py; domain/contracts/product.py; entrypoints/api.py","No complete run-bound export manifest/package is exposed",Prompt05,"Export only a validated run package with artifact hashes and safe projections"
OUT-02,Output,Allow safe reviewable output access,"Artifact metadata/content routes are scoped by run and principal",PARTIAL,"entrypoints/api.py; application/backend.py","Generic artifact content is not the V1 export contract and needs output classification",Prompt05,"Deny unvalidated or cross-run export and omit host paths credentials and arbitrary SQL"
ACC-01,Acceptance,Prove multi-source end-to-end execution with independent truth,"Prompt02 harness and oracle exist, but no completed live receipt meets the complete scenario",PARTIAL,"tests/product_acceptance/test_multi_source_v1.py; tests/product_acceptance/oracle/multi_source_v1_truth.yml; CI job; Step29 path remains single CSV","Mandatory heterogeneous product acceptance is blocked pending live CI evidence",Prompt02,"Execute the four-source scenario and bind the receipt to the exact final commit"
ACC-02,Acceptance,Prove generic non-order domain and retain order compatibility,"Order policy is the only product policy",MISSING,"application/product_policy.py; config/product/order_v1.json","No domain-neutral product contract is exercised",Prompt03,"Execute order and telemetry/device policies through one generic runtime"
ACC-03,Acceptance,Prove complete review actions and UI,"Accept-only browser path with limited API enum",PARTIAL,"frontend/src/api/client.ts; entrypoints/api.py","Reject/override/label/lock product flow not accepted",Prompt04,"Run action matrix and verify immutable review history"
ACC-04,Acceptance,Prove safe complete output/export,"No product export endpoint/package contract",MISSING,"entrypoints/api.py has summary and artifact routes only","Downstream user cannot receive a complete deliverable package",Prompt05,"Export contract and download/manifest tests"
