requirement_id,category,summary,source_of_truth,priority,verification_type,future_owner,future_gate,acceptance_criteria_id,status
FR-012,Functional,"Expose ambiguous decisions for accept, reject, override, label and lock/persist review actions","docs/01_PROJECT_SCOPE_AND_REQUIREMENTS.md § FR-12",MUST,"Review-flow acceptance tests","UX / Backend / Frontend",G7,"AC-014; AC-022; AC-030",DEFINED
NFR-001,Non-functional,"Store version, adapter/model settings, source snapshot identity, seeds and human decisions for reproducibility","docs/01_PROJECT_SCOPE_AND_REQUIREMENTS.md § NFR-01",MUST,"Determinism and artifact-replay tests","Data Platform Engineer",G8,"AC-017",DEFINED
NFR-002,Non-functional,"Make inferred relationships, mappings and merges explainable through inspectable evidence and provenance","docs/01_PROJECT_SCOPE_AND_REQUIREMENTS.md § NFR-02",MUST,"Artifact schema and evidence inspection","Evidence Fusion / Canonical Model",G5,"AC-018",DEFINED
NFR-003,Non-functional,"Keep source interaction read-only and transformations in controlled analytical targets","docs/01_PROJECT_SCOPE_AND_REQUIREMENTS.md § NFR-03",MUST,"Database-security and negative tests","Database Security Specialist",G3,"AC-015; AC-024",DEFINED
NFR-004,Non-functional,"Support configurable sampling/chunking without requiring full enterprise tables in Python memory","docs/01_PROJECT_SCOPE_AND_REQUIREMENTS.md § NFR-04",MUST,"Memory-bounded fixture and performance evidence","DBA / Data Engineer / Performance",G12,"AC-005; AC-017",DEFINED
NFR-005,Non-functional,"Prefer deterministic/statistical methods where sufficient and keep LLM assistance bounded and attributable","docs/01_PROJECT_SCOPE_AND_REQUIREMENTS.md § NFR-05; docs/03_SYSTEM_ARCHITECTURE.md",MUST,"Bounded-intelligence and failure-path tests","LLM/Semantic AI / Evidence Fusion",G4,"AC-022; AC-026",DEFINED
NFR-006,Non-functional,"Keep external engines behind replaceable project-owned adapters and contracts","docs/01_PROJECT_SCOPE_AND_REQUIREMENTS.md § NFR-06; docs/03_SYSTEM_ARCHITECTURE.md",MUST,"Adapter contract compatibility tests","Solution Architect / Technical Lead",G2,"AC-018",DEFINED
NFR-007,Non-functional,"Provide deterministic fixtures and tests for every major stage","docs/01_PROJECT_SCOPE_AND_REQUIREMENTS.md § NFR-07; docs/08_BENCHMARK_AND_VALIDATION_PLAN.md",MUST,"Unit, integration and benchmark validation","QA Automation / owning specialists",G9,"AC-004; AC-027",DEFINED
POL-001,Policy,"Never destructively mutate operational source systems; human approval does not grant source-write authority","docs/product/PRODUCT_CONTRACT.md § 8",MUST,"Source-safety negative acceptance tests","Database Security / AppSec",G3,"AC-015",DEFINED
POL-002,Policy,"Preserve provenance, conflicts, source records and record-loss accounting through transformations","docs/03_SYSTEM_ARCHITECTURE.md; docs/06_DATA_QUALITY_AND_CLEANING_TAXONOMY.md",MUST,"End-to-end lineage and reconciliation","Data QA / Canonical Model",G6,"AC-009; AC-016; AC-018",DEFINED
POL-003,Policy,"Do not treat matcher scores, heuristic confidence or LLM output as probability or business truth without calibration/evidence","docs/05_EVIDENCE_AND_CONFIDENCE_MODEL.md",MUST,"Calibration and semantic-state evaluation","Evidence Fusion / ML Evaluation",G5,"AC-006; AC-026",DEFINED
OUT-001,Output,"An OLAP-ready result includes a plan, executable transforms, materialized DuckDB target and passing validation/reconciliation","docs/01_PROJECT_SCOPE_AND_REQUIREMENTS.md; docs/07_CANONICAL_AND_OLAP_MODELING_STRATEGY.md",MUST,"End-to-end golden benchmark","Data QA / OLAP Engineer",G6,"AC-012; AC-013; AC-027",DEFINED
SRC-001,Source,"Support XLSX only when an existing connector is inexpensive and compatibility evidence exists","docs/01_PROJECT_SCOPE_AND_REQUIREMENTS.md § 3.1",SHOULD / CONDITIONAL,"Compatibility matrix and connector tests","Compatibility / Senior Data Engineer",G9,"AC-002",DEFINED
SRC-002,Source,"Oracle support is deferred unless a later scoped decision reopens it","docs/01_PROJECT_SCOPE_AND_REQUIREMENTS.md § 3.1",DEFERRED,"Scope review before implementation","Product Owner / Compatibility",G0,"AC-002",DEFINED
MOD-001,Modeling,"Keep SCD2-compatible fields available without committing V1 to full incremental SCD2 maintenance","docs/07_CANONICAL_AND_OLAP_MODELING_STRATEGY.md § 12",SHOULD / CONDITIONAL,"Analytical contract review","OLAP / Data Platform",G6,"AC-011",DEFINED
